Kingdom,Phylum,Class,Order,Family,Genus,V2S1,V1S5,V2S2,V2S3,V2S5,V2S4,V2S6,V2S7,V1S2,V1S1,V1S3,V1S4,V2S9,V2S8,V2S10,V2S11,V3S4,V3S1,V3S3,V3S2,V3S8,V3S5,V3S7,V3S6,V3S11,V3S12,V3S13,V3S14,V3S15,V3S10,V3S9
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,unclassified,15,9,6,20,4,1,71,5,260,8,537,38,108,339,5,102,86,34,23,26,1170,374,1852,1053,79,6171,24,22,1,11,40
Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified,840,1002,269,223,101,387,39,169,112,357,185,286,622,451,633,1257,210,294,135,233,319,281,220,460,886,870,368,146,134,298,371
Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,unclassified,441,270,95,13,82,45,12,30,47,59,231,349,1118,363,1002,701,22,157,214,129,83,194,178,374,1449,82,62,192,129,164,300
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,unclassified,unclassified,344,800,148,117,113,500,17,66,128,103,285,231,29,88,123,238,59,164,83,101,180,440,173,86,2026,219,183,5,29,552,583
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,238,87,1535,309,41,28,73,64,10,9,64,41,7,12,2,5,4,28,3,19,105,1,50,64,52,18,1,0,20,49,2065
Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis,87,62,11,51,0,8,6,10,21,28,29,209,426,275,457,1145,159,195,55,248,79,143,37,305,60,123,164,42,10,95,82
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,8,4,0,3,0,1,1,1,19,4,134,9,140,367,9,28,47,10,20,16,1765,241,1022,741,5,0,1,1,0,2,1
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,unclassified,34,83,118,21,23,90,80,37,31,45,19,78,41,103,99,103,39,146,46,12,189,294,120,137,816,493,232,131,153,182,330
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Fluviicola,192,197,1499,46,3,51,57,184,441,328,38,87,20,11,27,141,11,23,3,9,43,20,73,71,575,13,5,1,1,60,12
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,unclassified,unclassified,63,71,157,231,9,23,26,127,7,143,27,34,31,60,115,140,232,213,137,66,553,141,158,418,494,16,5,2,16,309,184
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unclassified,65,338,1049,147,10,340,248,189,86,146,71,373,12,48,9,10,13,89,6,2,71,65,64,43,117,28,0,1,59,200,27
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,unclassified,188,219,121,98,14,84,13,75,57,123,115,180,133,63,375,193,115,180,47,75,121,93,132,131,482,14,20,12,33,152,79
unknown,unclassified,unclassified,unclassified,unclassified,unclassified,52,37,5,27,0,4,0,1,20,16,22,154,293,281,305,694,66,274,36,256,25,130,18,261,50,98,221,65,8,30,88
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,816,850,31,239,25,211,33,128,6,29,22,75,47,75,44,270,22,38,16,45,86,19,46,57,70,59,59,12,12,26,2
Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,25,3,5,13,15,0,26,10,4,14,7,18,90,228,69,101,28,29,13,50,29,132,10,62,1347,756,117,32,21,82,95
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,14,7,1,108,9,0,110,0,30,3,274,33,37,157,9,70,12,22,13,4,1247,603,226,334,30,13,5,0,6,5,41
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,6,2,1,2,0,0,1,0,27,6,279,10,96,261,6,17,13,3,8,6,1079,48,619,398,1,1,6,1,0,4,0
Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylophilus,31,23,56,7,6,3,79,47,20,21,1,192,22,67,549,21,0,91,14,1,34,168,77,6,137,25,258,50,14,134,241
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified,72,127,66,43,17,25,20,37,6,43,9,29,7,11,17,81,47,123,57,263,45,90,95,100,284,77,15,6,196,81,143
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,5,2,2,1,0,7,9,2,5,6,142,12,65,111,3,7,10,3,5,4,1000,11,440,314,1,1,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,1,1,5,0,2,0,0,0,33,1,140,6,65,179,9,3,7,0,7,6,741,240,430,275,2,2,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,9,2,15,884,2,0,352,1,49,0,6,1,7,2,0,17,1,15,2,3,124,133,31,22,5,0,0,0,1,4,378
Bacteria,Cyanobacteria_Chloroplast,Chloroplast,Chloroplast_order_incertae_sedis,Chloroplast,Cryptomonadaceae,15,1,2,84,0,0,0,0,0,0,0,2,82,912,43,114,0,11,190,299,0,10,1,103,0,0,62,12,0,0,0
Bacteria,Verrucomicrobia,unclassified,unclassified,unclassified,unclassified,55,31,517,56,1,32,84,4,5,23,4,12,6,89,3,11,3,68,4,0,29,114,28,15,72,47,152,23,184,44,2
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,0,0,0,0,0,0,0,0,0,0,11,0,2,8,0,0,0,0,1,0,754,0,463,284,4,0,0,1,0,2,0
Bacteria,Cyanobacteria_Chloroplast,Chloroplast,Chloroplast_order_incertae_sedis,Chloroplast,unclassified,58,1,2,1,0,0,1,0,1,0,2,37,171,413,125,422,3,29,51,23,0,10,4,36,0,19,85,25,0,0,0
Bacteria,Cyanobacteria_Chloroplast,Chloroplast,Chloroplast_order_incertae_sedis,Chloroplast,Bacillariophyta,45,0,0,3,2,0,0,0,0,2,1,18,179,370,51,317,5,149,71,51,0,21,27,70,0,0,47,8,0,1,0
Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax,9,3,2,1,0,0,18,4,0,1,1,16,55,170,20,36,24,126,7,19,50,58,7,38,529,117,36,13,21,13,9
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,unclassified,127,60,158,30,6,13,17,29,16,33,16,32,29,62,31,28,17,78,10,19,56,65,29,25,185,10,18,9,52,80,36
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,1,37,10,28,1,1,19,328,1,0,188,47,3,0,1,6,1,0,1,3,38,0,33,16,269,1,1,0,10,120,81
Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified,8,9,0,13,0,4,8,1,6,7,1,18,150,34,35,93,36,27,12,20,201,34,109,187,28,84,25,14,10,23,39
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,unclassified,47,0,48,50,0,1,807,1,3,2,0,5,4,5,0,16,1,9,1,0,101,1,70,20,0,5,0,0,20,2,8
Bacteria,Firmicutes,Bacilli,Bacillales,unclassified,unclassified,241,0,41,0,0,0,0,11,15,0,87,21,4,15,46,233,4,93,1,0,144,8,94,84,9,6,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,16,14,20,10,20,4,6,24,42,6,19,22,7,5,6,2,73,13,17,44,25,9,18,294,29,0,0,0,1,45,252
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,424,203,0,3,1,1,0,1,1
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,0,0,0,0,0,0,0,0,3,1,32,2,5,32,2,4,1,0,0,0,368,403,43,73,0,1,0,0,0,0,0
Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,35,37,1,0,432,11,3,0,4,19,4,0,13,73,49,30,10,42,18,40,30,35,22,12,12,4,1,4,8,6,3
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,0,0,0,2,0,0,11,0,9,1,15,7,0,1,5,20,1,0,0,2,12,5,5,6,651,1,0,0,1,77,89
